% ITASE_2000_4					
% Water isotope data from the University of Washington					
% Eric J. Steig and David P. Schneider					
%					
% Citation:					
% Steig EJ, Ding Q, White JCW, Kuettel M, Rupper SB, Neumann TA, Neff PD,					
% Gallant AJE, Mayewski PA, Taylor KC, Hoffmann G, Dixon DA, Schoenemann S, Markle BM, 					
% Schneider DP, Fudge TJ, Schauer AJ, Teel RP, Vaughn B, Burgener L, Williams J,					
% Korotkikh E. Recent climate and ice-sheet changes in West Antarctica compared					
% with the past 2000 years. Nature Geoscience 6: 372-375, doi: 10.1038/NGEO1778 (2013).					
%					
% Depths are given in meters. Age in calendar years.					
% Ages refer to nominal Jan 1st (that is, 2000.0 means midnight of Dec 31, 1999)					
%					
% Isotope ratios are normalized on the V-SMOW / SLAP scale.					
% Precision is <0.1 per mil and <1 per mil for d18O and delD, respectively.  Analysis via CO2 equilibration (d18O), reduction on Cr (dD) or laser spectroscopy (dD).					
%					
% Core ITASE_2000_4, Location 120.0764 W, 78.0829 S, elevation 1697 m					
% Core depth = 58 m.  Analyzed to 20 m.					
%					
% Depth_top	Depth_bottom	Age_top	Age_bottom	dD (per mil)	d18O (per mil)
1.9083325	1.9386658	1998.1358	1998.0659	-258.523172	-32.95738
1.9386658	1.9689991	1998.0659	1997.9939	-268.62845	-34.101311
1.9689991	1.9993324	1997.9939	1997.886	-284.42407	-35.602088
1.9993324	2.0296657	1997.886	1997.778	-294.385703	-36.866581
2.0296657	2.059999	1997.778	1997.67	-296.670981	-37.293992
2.059999	2.079999	1997.67	1997.5988	-289.382034	-35.668295
2.095	2.125697	1997.5455	1997.428	-268.614304	-34.179644
2.125697	2.156394	1997.428	1997.3105	-256.156277	-32.512181
2.156394	2.187091	1997.3105	1997.193	-255.928838	-32.563443
2.187091	2.217788	1997.193	1997.0755	-259.99772	-33.033935
2.217788	2.248485	1997.0755	1996.9757	-260.968418	-33.016701
2.248485	2.279182	1996.9757	1996.9076	-258.157527	-32.566449
2.279182	2.309879	1996.9076	1996.8396	-259.254461	-32.52391
2.309879	2.340576	1996.8396	1996.7716	-270.814699	-33.233629
2.340576	2.371273	1996.7716	1996.7036	-277.63462	-34.265656
2.371273	2.40197	1996.7036	1996.6355	-272.83445	-34.088142
2.40197	2.432667	1996.6355	1996.5675	-264.813126	-33.317177
2.432667	2.463364	1996.5675	1996.4995	-256.092072	-32.449127
2.463364	2.494061	1996.4995	1996.4314	-251.989456	-32.150983
2.494061	2.524758	1996.4314	1996.3634	-250.297262	-32.027335
2.524758	2.555455	1996.3634	1996.2954	-253.670767	-34.72411
2.555455	2.586152	1996.2954	1996.2274	-262.303673	-33.138412
2.586152	2.616849	1996.2274	1996.1593	-269.576296	-33.428831
2.616849	2.647546	1996.1593	1996.0913	-271.149874	-33.812055
2.647546	2.678243	1996.0913	1996.0233	-261.635502	-32.93314
2.678243	2.70894	1996.0233	1995.915	-241.28021	-30.904268
2.70894	2.739637	1995.915	1995.7857	-226.050468	-28.772517
2.739637	2.770334	1995.7857	1995.6565	-221.141475	-28.248956
2.770334	2.801031	1995.6565	1995.5272	-229.028947	-29.042012
2.801031	2.831728	1995.5272	1995.398	-243.359812	-30.649533
2.831728	2.862425	1995.398	1995.2687	-259.846456	-32.58332
2.862425	2.893122	1995.2687	1995.1395	-272.50254	-34.03706
2.893122	2.923819	1995.1395	1995.0102	-275.441843	-34.619424
2.923819	2.954516	1995.0102	1994.9256	-259.636428	-34.469964
2.954516	2.985213	1994.9256	1994.8448	-242.117056	-33.656187
2.985213	3.01591	1994.8448	1994.7641	-258.830232	-32.813536
3.01591	3.046607	1994.7641	1994.6833	-253.61131	-32.3756
3.046607	3.077304	1994.6833	1994.6025	-257.608458	-32.464141
3.077304	3.108001	1994.6025	1994.5217	-263.361565	-33.217999
3.108001	3.14	1994.5217	1994.4375	-266.419808	-33.588214
3.14	3.170645	1994.4375	1994.3456	-260.293531	-33.0628
3.170645	3.20129	1994.3456	1994.2536	-258.111093	-32.95028
3.20129	3.231935	1994.2536	1994.1617	-257.375635	-32.846304
3.231935	3.26258	1994.1617	1994.0698	-259.112012	-32.976208
3.26258	3.293225	1994.0698	1993.9858	-262.573886	-33.106989
3.293225	3.32387	1993.9858	1993.927	-267.055174	-33.726241
3.32387	3.354515	1993.927	1993.8681	-271.571276	-33.910602
3.354515	3.38516	1993.8681	1993.8093	-270.033995	-33.722464
3.38516	3.415805	1993.8093	1993.7505	-266.189162	-33.362448
3.415805	3.44645	1993.7505	1993.6916	-262.784949	-33.030083
3.44645	3.477095	1993.6916	1993.6328	-262.57715	-33.091341
3.477095	3.50774	1993.6328	1993.5739	-263.377885	-33.388446
3.50774	3.538385	1993.5739	1993.5151	-267.833062	-33.738257
3.538385	3.56903	1993.5151	1993.4563	-275.709858	-33.706936
3.56903	3.599675	1993.4563	1993.3974	-277.295009	-34.647821
3.599675	3.63032	1993.3974	1993.3386	-270.0155	-33.66996
3.63032	3.660965	1993.3386	1993.2797	-267.513203	-33.749869
3.660965	3.69161	1993.2797	1993.2209	-257.511629	-32.822576
3.69161	3.722255	1993.2209	1993.1621	-250.58353	-31.673486
3.722255	3.7529	1993.1621	1993.1032	-246.857283	-31.467862
3.7529	3.783545	1993.1032	1993.0444	-248.186764	-31.440678
3.783545	3.81419	1993.0444	1992.9866	-251.676925	-31.949937
3.81419	3.844835	1992.9866	1992.9321	-261.278131	-32.745129
3.844835	3.87548	1992.9321	1992.8777	-269.835988	-33.814737
3.87548	3.906125	1992.8777	1992.8232	-275.215927	-34.183697
3.906125	3.93677	1992.8232	1992.7687	-278.147966	-34.942237
3.93677	3.967415	1992.7687	1992.7142	-275.865436	-34.272435
3.967415	3.99806	1992.7142	1992.6597	-268.998262	-33.859776
3.99806	4.028705	1992.6597	1992.6053	-254.544775	-32.454497
4.028705	4.05935	1992.6053	1992.5508	-242.866663	-31.206576
4.05935	4.089995	1992.5508	1992.4963	-236.224695	-30.37416
4.089995	4.124995	1992.4963	1992.4341	-235.840648	-30.159763
4.14	4.169677	1992.4074	1992.3458	-245.834605	-31.345643
4.169677	4.199354	1992.3458	1992.2841	-231.924008	-29.70582
4.199354	4.229031	1992.2841	1992.2225	-227.380707	-29.154297
4.229031	4.258708	1992.2225	1992.1608	-225.697518	-28.867564
4.258708	4.288385	1992.1608	1992.0992	-226.746386	-28.881161
4.288385	4.318062	1992.0992	1992.0375	-231.106897	-29.423514
4.318062	4.347739	1992.0375	1991.9638	-240.645517	-30.382326
4.347739	4.377416	1991.9638	1991.8714	-255.646718	-32.126155
4.377416	4.407093	1991.8714	1991.7789	-270.354757	-33.843987
4.407093	4.43677	1991.7789	1991.6864	-285.202863	-35.279663
4.43677	4.466447	1991.6864	1991.594	-290.765338	-35.943927
4.466447	4.496124	1991.594	1991.5015	-283.290796	-35.442162
4.496124	4.525801	1991.5015	1991.409	-271.018172	-34.257172
4.525801	4.555478	1991.409	1991.3166	-263.38402	-33.461824
4.555478	4.585155	1991.3166	1991.2241	-259.179861	-32.708136
4.585155	4.614832	1991.2241	1991.1316	-256.475172	-32.435727
4.614832	4.644509	1991.1316	1991.0392	-255.978967	-32.209266
4.644509	4.674186	1991.0392	1990.96	-257.056066	-32.355616
4.674186	4.703863	1990.96	1990.8907	-262.468703	-32.980369
4.703863	4.73354	1990.8907	1990.8213	-273.54805	-34.233291
4.73354	4.763217	1990.8213	1990.752	-284.764206	-35.508893
4.763217	4.792894	1990.752	1990.6826	-292.909762	-36.599479
4.792894	4.822571	1990.6826	1990.6133	-299.461388	-37.246529
4.822571	4.852248	1990.6133	1990.5439	-301.213844	-37.672655
4.852248	4.881925	1990.5439	1990.4746	-303.708977	-37.825067
4.881925	4.911602	1990.4746	1990.4052	-303.488563	-37.842957
4.911602	4.941279	1990.4052	1990.3359	-300.489626	-37.673532
4.941279	4.970956	1990.3359	1990.2665	-298.209478	-37.214448
