% Annually averaged water isotope data as published in Steig et al. (2013) in Nature Geoscience																													
% Paper available at																													
% http://www.nature.com/ngeo/journal/v6/n5/full/ngeo1778.html																													
%																													
% Citation																													
% The primary citation for this data compilation is:																													
% Steig EJ, Ding Q, White JCW, Kuettel M, Rupper SB, Neumann TA, Neff PD,																													
% Gallant AJE, Mayewski PA, Taylor KC, Hoffmann G, Dixon DA, Schoenemann S, Markle BM, 																													
% Schneider DP, Fudge TJ, Schauer AJ, Teel RP, Vaughn B, Burgener L, Williams J,																													
% Korotkikh E. Recent climate and ice-sheet changes in West Antarctica compared																													
% with the past 2000 years. Nature Geoscience 6: 372-375, doi: 10.1038/NGEO1778 (2013).																													
%																													
% Note that many of these data have been published previously, and the original references should be used when possible.  Please refer to the headers																													
% below and to the details given in the Supplementary Materials for Steig et al. (2013), available at http://www.nature.com/ngeo/journal/v6/n5/extref/ngeo1778-s1.pdf																													
%																													
% For the data cited as Steig et al. (2013), annual averaged are calculated following linear interpolation of high resolution data to nominal calendar months.																													
%  In the (rare) case of missing data, the climatological monthly data are used to fill in missing months.  If fewer then 6 months of data are available for a given year, no average is calculated.																													
% For other data please refer to the original publication cited.																													
%																													
% 999999 = no data																													
%																													
% Core Name	WDC05A	ITASE_1999_1	ITASE_2000_1	ITASE_2000_2	ITASE_2000_3	ITASE_2000_4	ITASE_2000_5	ITASE_2000_6	ITASE_2001_1	ITASE_2001_2	ITASE_2001_3	ITASE_2001_4	ITASE_2001_5	ITASE_2002_1	ITASE_2002_2	ITASE_2002_4	SEAT_10_1	Siple Dome A 	Siple DOME B	NUS-07-1	NUS-08-7	South Pole	Gomez	LawDome2000	Talos Dome	Vostok	JamesRoss	DT001	DT085
% Latitude (N)	-79.467	-80.62	-78.3838	-79.7331	-78.433	-78.0829	-77.683	-78.3325	-79.1597	-82.001	-78.1202	-77.6116	-77.0593	-82	-83.5008	-86.5	-79.38	-81.65	-81.65	-73.72	-74.12	-89.93	-73.6	-66.78	-72.8	-78	-64.2	-71.85	-73.37
% Longitude (E)	-112.085	-122.63	-111.24	-111.497	-115.9172	-120.0764	-123.995	-124.484	-104.9672	-110.0082	-95.6463	-92.2483	-89.1376	-110.01	-104.9868	-107.99	-111.24	-148.81	-148.81	7.94	1.6	144.39	-70.4	112.82	159.75	106	-57.67	77.92	77.02
% Citation	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Thomas et al. (2009)	van Ommen et al., (2004)	Stenni et al. (2002)	Ekaykin et al. (2002)	Aristarain et al. (1990)	Xiao et al. (2004)	Xiao et al. (2004)
%																													
% Core Name	WDC05A	ITASE_1999_1	ITASE_2000_1	ITASE_2000_2	ITASE_2000_3	ITASE_2000_4	ITASE_2000_5	ITASE_2000_6	ITASE_2001_1	ITASE_2001_2	ITASE_2001_3	ITASE_2001_4	ITASE_2001_5	ITASE_2002_1	ITASE_2002_2	ITASE_2002_4	SEAT_10_1	Siple Dome A 	Siple DOME B	NUS-07-1	NUS-08-7	South Pole	Gomez	LawDome2000	Talos Dome	Vostok	JamesRoss	DT001	DT085
% Year	d18O	d18O	d18O	d18O	dD	dD	dD	d18O	d18O	d18O	dD	d18O	d18O	d18O	d18O	d18O	d18O	dD	d18O	d18O	d18O	dD	d18O	d18O	dD	dD	dD	d18O	d18O
2010	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-34.647557	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
2009	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-33.820067	999999	999999	999999	-34.7265	999999	999999	999999	999999	999999	999999	999999	999999
2008	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-33.98803	999999	999999	999999	-40.1647	999999	999999	999999	999999	999999	999999	999999	999999
2007	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-34.060921	999999	999999	999999	-36.7789	999999	999999	999999	999999	999999	999999	999999	999999
2006	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-33.446083	999999	999999	999999	-43.1763	999999	-21.04	999999	999999	999999	999999	999999	999999
2005	-34.272622	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-33.619738	999999	999999	999999	-42.8509	999999	-23.02	999999	999999	999999	999999	999999	999999
2004	-35.536021	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-34.498596	999999	999999	-43.63	-42.5855	999999	-22.85	999999	999999	999999	999999	999999	999999
2003	-33.009903	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-36.247713	999999	999999	-44.1656	-44.9255	999999	-22.51	999999	999999	999999	999999	999999	999999
2002	-34.208058	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-34.226918	999999	-43.933928	-38.029017	999999	999999	-44.4085	-41.8627	999999	-23.03	999999	999999	999999	999999	999999	999999
2001	-34.195678	999999	999999	999999	999999	999999	999999	999999	-33.248795	-28.459572	-252.54234	999999	-33.24418	-34.944288	-35.620759	-41.836089	-35.223876	999999	999999	-43.2271	-41.1236	999999	-20.28	999999	999999	999999	999999	-38.16063307	999999
2000	-33.337827	999999	-32.160373	999999	-242.31001	-273.27588	-278.63115	999999	-31.749313	-29.283088	-232.29739	-30.420616	-28.520281	-35.961839	-37.38482	-43.844493	-34.462569	999999	999999	-44.5164	-43.3859	999999	-20.57	999999	999999	999999	-149.9277778	-37.76502011	999999
1999	-34.992233	-35.723333	-32.881744	-31.061692	-253.51593	-262.53145	-291.73613	999999	-31.612862	-29.854415	-245.00789	-31.497544	-31.416363	-34.281419	-35.876962	-42.211446	-35.605384	999999	999999	-47.0991	-42.3199	999999	-22.63	-23.833831	999999	-445.1407247	-142.2153846	-38.53013904	-41.15614436
1998	-31.227492	-33.889704	-30.666698	-30.419673	-242.71283	-267.40323	-277.45776	999999	-31.732931	-30.308506	-244.40091	-30.100416	-30.621745	-30.680902	-35.915774	-40.897179	-34.544009	999999	999999	-44.631	-42.6146	-373.9964	-21.89	-22.460091	999999	-458.2618224	-139.7428571	-37.54704974	-41.57351356
1997	-33.135902	-30.172814	-30.937044	-30.597833	-245.1985	-270.95672	-268.23381	-31.186103	-31.851691	-30.457039	-249.82265	-31.794841	-32.927812	-33.102672	-35.396162	-42.064065	-34.717117	999999	999999	-46.0898	-39.8018	-384.6878	-23.12	-23.187421	999999	-436.525824	-148.2372	-35.72936041	-40.07731545
1996	-32.745788	-34.191739	-31.719072	-30.990429	-253.90844	-260.76644	-254.08173	-32.337051	-32.061633	-29.712557	-254.82405	-33.645916	-32.110633	-32.661521	-38.872564	-43.035336	-33.892576	999999	999999	-47.6763	-41.9584	-393.3274	-22.29	-21.277732	-319.4	-444.9998178	-143.057096	-37.06303521	-39.59563639
1995	-33.904746	-30.882713	-31.237974	-30.957092	-253.36871	-248.53547	-268.39182	-33.589915	-32.872148	-31.225591	-243.12608	-30.440169	-32.579134	-33.63035	-37.926871	-42.485391	-33.431331	999999	999999	-43.5369	-41.67	-389.3174	-22.71	-22.325052	-303.1	-440.6051455	-143.3243627	-38.17954451	-40.97169887
1994	-32.379258	-33.876958	-33.613382	-31.330096	-247.47194	-258.89321	-270.90255	-32.878938	-32.605775	-28.523562	-249.83651	-32.344245	-31.651555	-33.434061	-35.236739	-41.165788	-31.36484	999999	-26.582201	-44.0955	-43.3632	-409.3756	-22.44	-23.121677	-297.6	-437.5592734	-148.16	-36.43135981	-40.74459259
1993	-32.933638	-32.894933	-32.293388	-31.167453	-251.96535	-263.04927	-270.08027	-31.729371	-30.298474	-28.659286	-247.873	-31.74394	-31.181856	-34.768286	-35.791658	-41.762374	-33.471754	-207.27271	-24.162354	-47.1385	-44.2927	-407.9347	-21.62	-22.754088	-298.8	-433.9568689	-147.6600095	-37.96214364	-39.78339904
1992	-31.722963	-34.986917	-31.69963	-30.90174	-246.6049	-247.13797	-253.8459	-33.048136	-31.656627	-30.50563	-243.93663	-30.559746	-30.122285	-32.588524	-35.094068	-44.055104	-35.10156	-194.87106	-22.591549	-48.8638	-40.4775	-406.2214	-23.17	-22.163812	-263.8	-429.0930322	-156.612412	-37.36258707	-39.61527102
1991	-33.195108	-31.041974	-31.102091	-31.136624	-251.88031	-268.51071	-262.95223	-34.550492	-32.699613	-31.247522	-251.62623	-31.426771	-30.516804	-31.896186	-37.232129	-42.877421	-34.139125	-188.24672	-26.407444	-46.568	-36.2158	-400.235	-23.6	-22.203779	-293.9	-439.1079674	-157.0650136	-36.42234446	-40.85000932
1990	-33.96278	999999	-32.380668	-32.571943	-259.54655	-283.8714	-264.9365	-32.64582	-34.12748	-28.830188	-263.43887	-31.723134	-31.634742	-34.017554	-36.357696	-41.292017	-33.336239	-221.06956	-25.148521	-45.8799	-38.9876	-397.314	-22.58	-23.432066	-279.3	-445.5572482	-150.71	-38.37480322	-42.90007544
1989	-34.69531	-32.539823	-32.294285	-31.74943	-259.2432	-263.1666	-269.95656	-30.865258	-31.954303	-29.298988	-263.91198	-32.798551	-31.406678	-33.243079	-35.396302	-42.738612	-33.219968	-179.01152	-24.875451	-44.7203	-42.7757	-398.9753	-22.79	-21.910524	-285.5	-429.6526355	-142.0267198	-39.51835975	-41.03771174
1988	-32.442958	-31.827975	-33.434433	-31.203916	-250.69213	-259.62636	-267.65965	-31.301358	-32.526568	-30.281883	-244.4674	-30.937306	-31.24866	-33.783919	-37.731248	-41.542044	-35.620973	-187.83754	-25.379264	-40.6248	-42.764	-400.2067	-22.69	-21.223315	-288.2	-437.8690592	-147.7599975	-36.73376462	-39.2952966
1987	-33.411574	-33.957984	-34.091069	-31.754428	-253.62637	-276.85294	-275.63909	-34.657735	-34.261672	-30.995525	-252.11957	-32.304108	-30.46482	-34.411563	-35.047793	-42.637681	-35.819038	-208.07449	-25.639264	-41.4016	-41.7522	-414.4176	-22.05	-23.074714	-264.6	-422.8574803	-151.8426884	-36.02405351	-37.91130049
1986	-37.2042	-33.284085	-35.598012	-32.321013	-250.62355	-274.09072	-278.16537	-34.355416	-32.68778	-30.368425	-247.83768	-31.923003	-30.777323	-36.303776	-38.328687	-45.347908	-37.248675	-196.12308	-26.619868	-44.6621	-44.7428	-414.1851	-22.07	-23.117416	-272.1	-433.5780129	-150.5038957	-36.97215591	-40.94591366
1985	-35.123583	-32.139031	-33.189792	-32.284764	-253.879	-269.24639	-276.94362	-33.49257	999999	-31.625487	-260.50302	999999	-30.392911	-34.655207	-37.871286	-43.468112	-37.648695	-200.9687	-29.438465	-45.2797	-45.1528	-400.244	-22.03	-22.591209	-286.2	-437.0094101	-142.3583746	-37.66367024	-42.88252907
1984	-34.542311	-33.715363	-31.461309	-30.919192	-244.46386	-268.39533	-260.89746	-35.337713	999999	-29.263561	-259.0349	999999	-31.693113	-34.594663	-35.891524	-46.38807	-34.373084	-214.26213	-29.019979	-48.345	-43.176	-400.6461	-24.19	-21.29148	-299.3	-419.1481657	-144.665	-37.60703565	-41.97387475
1983	-33.392257	-34.053096	-32.838458	-32.308485	-255.45564	-263.51799	-271.97804	-34.516818	999999	-29.60468	-245.25435	999999	-32.333065	-32.430578	-35.905529	-42.913652	-35.939469	-211.32595	-28.765847	-48.2863	-41.9789	-409.5097	-23.29	-21.698243	-293.2	-434.7690845	-143.3716923	-39.42195833	-41.26451235
1982	-33.231521	-31.018287	-32.669723	-31.338486	-245.79772	-274.41533	-278.47104	-33.735619	999999	-28.83328	-266.69633	999999	-33.877355	-34.938281	-37.674213	-42.918617	-34.906915	-215.78186	-26.397972	-46.1544	-44.5609	-406.5811	-21.93	-21.745239	-273.8	-429.3940068	-148.6133838	-38.66553062	-43.56252978
1981	-34.702157	-30.457719	-32.031546	-29.324244	-252.16468	-275.47131	-277.39853	-34.494225	999999	-29.560606	-254.61476	999999	-30.356264	-33.047433	-35.4197	-42.17857	-35.335527	-207.53483	-25.253924	-44.0425	-42.1504	-402.8389	-22.07	-21.912466	-294.9	-438.4874591	-144.4025	-38.17588202	-41.90524829
1980	-32.628911	-27.158901	-31.141157	-30.823081	-252.52283	-225.7838	-239.69048	-35.13605	999999	-30.133773	-253.7252	999999	-31.055712	-31.524236	-35.409908	-47.417803	-35.991805	-201.37735	-24.970472	-42.429	-38.8865	-400.0178	-23.07	-22.268667	-289.5	-437.730614	-154.1047143	-38.78710006	-40.72587445
1979	-36.445565	-34.506351	-33.190402	-32.474711	-265.09343	-274.99048	-294.81325	-31.179615	999999	-29.264717	-245.27675	999999	-30.780152	-33.977836	-36.838916	-43.826311	-35.951756	-200.00655	-23.43081	-45.0426	-39.1517	-408.6065	-23.03	-22.558331	-301.4	-434.2943816	-151.0525	-38.94713668	-42.96680457
1978	-36.126431	-33.500278	-33.452726	999999	-257.38303	-279.43784	-282.11873	-34.999341	999999	-30.09633	-249.34274	999999	-31.15393	-36.319329	-36.458099	-41.118004	-35.304318	-200.48364	-25.241428	-45.2779	-38.4434	-398.5117	-23.64	-22.944937	-288.7	-421.5804467	-144.3375	-39.91105432	-40.6604732
1977	-35.598255	-34.184325	-34.03168	999999	-256.91982	-279.36428	-288.76617	-32.906508	999999	-29.772148	-250.91521	999999	-32.86095	-34.463755	-37.979698	-44.859904	-35.584361	-212.4347	-25.41125	-44.3545	-40.0296	-403.4234	-22.38	-21.188225	-295.5	-421.8868012	-135.36875	-39.747117	-41.39802678
1976	-33.341269	-32.583168	-32.261892	999999	-250.81694	-266.93446	-276.40169	-29.290249	999999	-29.025675	-259.95135	999999	-31.473994	-31.840379	-38.071816	-44.127329	-35.073893	-208.66449	-26.199083	-44.146	-40.005	-415.7223	-23.05	-22.840682	-295	-427.7342241	-137.3069231	-36.91126962	-38.5103679
1975	-36.060202	-31.397598	-33.515661	999999	-259.92076	-245.62325	-268.29805	-32.741412	999999	-30.226854	-260.73149	999999	-31.047937	-32.981275	-38.039404	-44.985448	-36.01874	-202.06327	-26.162694	-44.456	-37.3932	-418.7539	-22.28	-20.635329	-319.7	-435.0083325	-143.0425	-36.24663603	-40.95653972
1974	-35.021171	-34.679762	-33.196847	999999	-252.62979	-260.53476	-257.0416	-33.341792	999999	-31.534302	-254.96527	999999	-30.054488	-34.603972	-37.34865	-43.769674	-36.149991	-190.12358	-23.310238	-45.8657	-39.514	-417.3415	-22.23	-21.399748	-317.6	-446.9982429	-137.8700735	-35.32607533	-38.93487501
1973	-35.325738	-31.223758	-33.163732	999999	-257.31912	-274.23301	-268.84537	-34.840386	999999	-29.520583	-256.70868	999999	-29.348085	-33.895268	-35.471168	-41.324311	999999	-204.64063	-25.274692	-44.9917	-36.8277	-410.6328	-21.75	-22.737464	-287.8	-441.2525898	-145.5061696	-34.89076768	-37.78766069
1972	-34.791969	-30.057877	-32.587827	999999	-257.72742	-271.38229	-260.67388	-34.971172	999999	-29.981841	-258.09198	999999	-31.702025	-32.784579	-35.83959	-43.917515	999999	-201.14395	-25.951917	-44.9059	-41.5167	-417.4578	-21.73	-22.410626	-271.7	-420.3672011	-148.5242491	-39.66081954	-37.24824494
1971	-32.815207	-29.114585	-32.211142	999999	-249.51847	-262.71266	-280.56418	-33.296499	999999	-31.005314	-268.23976	999999	-30.572975	-35.039352	-36.131846	-43.668128	999999	-190.69755	-24.923005	-44.5694	-42.6867	-397.615	-22.25	-22.425783	-294.7	-423.1250165	-145.4505952	-41.95973777	-42.66023929
1970	-33.435489	-33.383196	-32.930865	999999	999999	-269.43221	-266.03906	-33.421152	999999	-30.549892	-245.18499	999999	-31.856077	-34.605873	-34.650422	-42.880293	999999	-181.14347	-24.647875	-45.3703	-40.581	-399.4412	-23.33	-22.415823	-302.2	-424.0386643	-147.5465079	-39.3166001	-40.03583985
1969	-35.425726	-32.551634	-34.231556	999999	999999	-265.62752	-258.93012	-33.611312	999999	-28.488213	-265.21773	999999	-34.099835	-34.645344	-35.386319	-43.755479	999999	-200.61586	-24.920153	-46.0047	-41.1082	-393.5276	-24.34	-23.222593	-294.7	-427.5548938	-159.79625	-37.95436743	-39.2425718
